unix,open,high,low,close,Volume LINK,Volume BTC
1684713600,0.000240,0.000245,0.000240,0.000243,25.258219,0.006132
1684627200,0.000240,0.000241,0.000238,0.000240,3459.487355,0.829827
1684540800,0.000242,0.000242,0.000240,0.000241,1389.017831,0.334128
1684454400,0.000243,0.000243,0.000241,0.000242,1167.884012,0.283095
1684368000,0.000247,0.000247,0.000243,0.000244,4349.926901,1.060556
1684281600,0.000246,0.000249,0.000245,0.000247,2489.537409,0.614119
1684195200,0.000244,0.000248,0.000243,0.000246,2874.179946,0.706847
1684108800,0.000243,0.000245,0.000242,0.000244,23844.455961,5.809940
1684022400,0.000243,0.000244,0.000241,0.000242,8450.286381,2.045476
1683936000,0.000248,0.000248,0.000242,0.000242,30182.602940,7.318979
1683849600,0.000236,0.000246,0.000236,0.000246,9185.744479,2.260520
1683763200,0.000238,0.000238,0.000232,0.000236,2872.147789,0.678401
1683676800,0.000236,0.000239,0.000234,0.000238,3585.557928,0.854905
1683590400,0.000239,0.000239,0.000235,0.000235,5167.706091,1.216530
1683504000,0.000239,0.000243,0.000235,0.000238,3310.682469,0.787876
1683417600,0.000239,0.000242,0.000239,0.000242,10216.706651,2.473567
1683331200,0.000245,0.000245,0.000240,0.000240,3372.167857,0.808275
1683244800,0.000242,0.000247,0.000240,0.000244,2754.124212,0.672061
1683158400,0.000245,0.000245,0.000241,0.000242,3309.794451,0.799415
1683072000,0.000243,0.000246,0.000241,0.000246,1475.172827,0.362848
1682985600,0.000246,0.000247,0.000241,0.000243,2271.820782,0.552779
1682899200,0.000241,0.000246,0.000241,0.000246,11613.265182,2.853031
1682812800,0.000245,0.000248,0.000240,0.000240,1936.424264,0.465613
1682726400,0.000241,0.000246,0.000241,0.000245,50.183816,0.012309
1682640000,0.000242,0.000244,0.000240,0.000240,83.572511,0.020095
1682553600,0.000246,0.000247,0.000242,0.000244,4275.627087,1.041457
1682467200,0.000256,0.000258,0.000245,0.000247,4337.385513,1.069773
1682380800,0.000257,0.000271,0.000255,0.000258,8904.538765,2.293008
1682294400,0.000257,0.000262,0.000256,0.000257,5322.162519,1.366731
1682208000,0.000255,0.000259,0.000252,0.000254,7587.435416,1.927588
1682121600,0.000262,0.000263,0.000258,0.000258,3095.043739,0.798614
1682035200,0.000268,0.000268,0.000258,0.000261,2861.874731,0.746491
1681948800,0.000271,0.000276,0.000264,0.000269,2129.480774,0.573384
1681862400,0.000281,0.000284,0.000269,0.000269,15570.363681,4.186404
1681776000,0.000278,0.000290,0.000274,0.000282,2353.044804,0.664123
1681689600,0.000269,0.000280,0.000264,0.000277,3623.144442,1.005060
1681603200,0.000265,0.000269,0.000261,0.000268,10690.101085,2.867085
1681516800,0.000253,0.000266,0.000252,0.000264,6217.911899,1.641280
1681430400,0.000246,0.000257,0.000246,0.000254,3325.629130,0.844710
1681344000,0.000241,0.000247,0.000239,0.000246,18786.623125,4.617752
1681257600,0.000241,0.000244,0.000238,0.000241,2930.373328,0.707216
1681171200,0.000248,0.000248,0.000244,0.000244,2720.576204,0.662896
1681084800,0.000254,0.000255,0.000247,0.000247,3388.678497,0.837376
1680998400,0.000256,0.000256,0.000254,0.000255,2506.185409,0.638050
1680912000,0.000260,0.000260,0.000255,0.000255,532.915117,0.136149
1680825600,0.000257,0.000261,0.000256,0.000261,730.890872,0.190631
1680739200,0.000259,0.000260,0.000255,0.000256,10652.619609,2.722277
1680652800,0.000262,0.000266,0.000259,0.000260,13065.720057,3.403620
1680566400,0.000262,0.000263,0.000259,0.000261,472.229695,0.123474
1680480000,0.000258,0.000263,0.000257,0.000260,19418.411066,5.045292
1680393600,0.000264,0.000265,0.000257,0.000257,3077.038393,0.791045
1680307200,0.000267,0.000267,0.000263,0.000265,227.480903,0.060182
1680220800,0.000259,0.000273,0.000259,0.000267,2395.473763,0.639999
1680134400,0.000259,0.000262,0.000256,0.000257,807.134166,0.207377
1680048000,0.000256,0.000262,0.000254,0.000261,578.851285,0.150843
1679961600,0.000252,0.000256,0.000251,0.000255,2526.637511,0.645051
1679875200,0.000259,0.000260,0.000252,0.000254,554.827802,0.140688
1679788800,0.000257,0.000261,0.000257,0.000260,2123.812136,0.552170
1679702400,0.000262,0.000263,0.000257,0.000258,157.434872,0.040576
1679616000,0.000269,0.000269,0.000260,0.000263,1113.055936,0.292222
1679529600,0.000262,0.000270,0.000260,0.000268,5637.395493,1.510596
1679443200,0.000263,0.000273,0.000260,0.000261,8829.031264,2.304995
1679356800,0.000254,0.000264,0.000249,0.000262,3665.000244,0.961733
1679270400,0.000254,0.000269,0.000253,0.000254,11030.424372,2.804596
1679184000,0.000258,0.000262,0.000253,0.000253,4958.032552,1.256812
1679097600,0.000262,0.000266,0.000257,0.000257,3077.489288,0.791530
1679011200,0.000266,0.000270,0.000259,0.000264,17963.631674,4.734854
1678924800,0.000270,0.000271,0.000264,0.000265,3568.785957,0.947156
1678838400,0.000282,0.000286,0.000266,0.000269,7210.061144,1.941525
1678752000,0.000279,0.000283,0.000266,0.000282,42940.555678,12.107948
1678665600,0.000298,0.000298,0.000277,0.000280,27226.548103,7.610909
1678579200,0.000300,0.000303,0.000297,0.000299,53171.961998,15.903734
1678492800,0.000308,0.000310,0.000294,0.000301,65206.277900,19.641435
1678406400,0.000303,0.000311,0.000301,0.000310,9446.491425,2.930491
1678320000,0.000304,0.000307,0.000298,0.000303,12320.928036,3.732502
1678233600,0.000311,0.000312,0.000299,0.000304,3749.960861,1.138713
1678147200,0.000308,0.000310,0.000302,0.000305,4151.300509,1.265939
1678060800,0.000309,0.000310,0.000306,0.000308,4723.023455,1.452896
1677974400,0.000306,0.000312,0.000305,0.000311,1682.493697,0.523171
1677888000,0.000312,0.000313,0.000306,0.000306,209.862847,0.064317
1677801600,0.000310,0.000311,0.000302,0.000311,1539.536239,0.478026
1677715200,0.000319,0.000320,0.000309,0.000310,18623.970870,5.777901
1677628800,0.000310,0.000319,0.000310,0.000319,1724.259381,0.549832
1677542400,0.000309,0.000315,0.000308,0.000311,2050.753721,0.637518
1677456000,0.000318,0.000318,0.000307,0.000309,16763.854142,5.173828
1677369600,0.000319,0.000320,0.000316,0.000318,1191.923137,0.379353
1677283200,0.000322,0.000323,0.000315,0.000318,3029.005431,0.964072
1677196800,0.000332,0.000341,0.000316,0.000322,11737.146421,3.773610
1677110400,0.000320,0.000340,0.000318,0.000332,10687.905259,3.548598
1677024000,0.000313,0.000320,0.000307,0.000320,2802.876533,0.896024
1676937600,0.000324,0.000324,0.000311,0.000313,635.568100,0.198761
1676851200,0.000330,0.000342,0.000320,0.000323,5117.933026,1.654116
1676764800,0.000325,0.000333,0.000321,0.000330,6728.896422,2.220401
1676678400,0.000310,0.000335,0.000307,0.000327,26442.672816,8.646754
1676592000,0.000298,0.000311,0.000298,0.000311,6110.518453,1.903304
1676505600,0.000296,0.000300,0.000291,0.000298,3319.892924,0.988598
1676419200,0.000307,0.000307,0.000295,0.000299,7071.539650,2.116370
1676332800,0.000306,0.000307,0.000304,0.000306,93.184733,0.028546
1676246400,0.000313,0.000313,0.000300,0.000305,4334.653945,1.322373
1676160000,0.000320,0.000321,0.000311,0.000313,2348.214777,0.734146
1676073600,0.000318,0.000321,0.000317,0.000321,2369.561303,0.761482
1675987200,0.000322,0.000325,0.000313,0.000319,3183.520448,1.015734
1675900800,0.000310,0.000343,0.000307,0.000320,37469.019799,11.988962
1675814400,0.000310,0.000316,0.000307,0.000310,3032.655624,0.939304
1675728000,0.000303,0.000310,0.000302,0.000310,124.308343,0.038492
1675641600,0.000304,0.000307,0.000299,0.000299,1293.767714,0.386681
1675555200,0.000310,0.000310,0.000300,0.000303,933.726522,0.283097
1675468800,0.000311,0.000313,0.000306,0.000312,62.068047,0.019342
1675382400,0.000302,0.000311,0.000301,0.000311,357.365607,0.111123
