unix,open,high,low,close,Volume LINK,Volume USD,return,log_return,SMA_24,volatility_24
1735516800,20.924030,21.757570,20.070580,20.565000,26037.447181,535460.101277,0.028590,0.028189,22.329694,0.048940
1735430400,21.940000,21.940000,20.750000,20.950000,48804.660501,1022457.637492,0.016990,0.016848,22.150000,0.049456
1735430400,21.947310,21.971240,20.747830,20.924030,12138.563533,253987.667521,0.017458,0.017308,22.147948,0.049196
1735344000,21.530000,22.340000,21.020000,21.900000,195264.719196,4276297.350383,0.045346,0.044348,21.949167,0.049022
1735344000,21.512720,22.348940,21.046590,21.947310,15395.854235,337897.585610,0.048905,0.047746,21.951419,0.048906
1735257600,22.710000,23.630000,21.350000,21.410000,136606.056124,2924735.661607,-0.022374,-0.022629,21.801667,0.047515
1735257600,22.688290,23.646240,21.352480,21.512720,43412.804176,933927.500653,-0.019802,-0.020000,21.802580,0.047721
1735171200,24.410000,24.670000,22.440000,22.680000,55156.601471,1250951.721372,0.059318,0.057625,21.733333,0.049079
1735171200,24.443680,24.690480,22.415830,22.688290,10626.276556,241092.044123,0.054645,0.053205,21.732620,0.048962
1735084800,25.440000,25.530000,24.120000,24.420000,35322.904964,862585.339225,0.076720,0.073919,21.746667,0.051583
1735084800,25.442710,25.523700,24.158730,24.443680,12299.193093,300637.540224,0.077370,0.074523,21.745786,0.051511
1734998400,24.510000,25.960000,23.540000,25.450000,130120.026529,3311554.675166,0.042179,0.041313,21.760833,0.051593
1734998400,24.492220,25.965680,23.507350,25.442710,33825.025951,860600.326014,0.040871,0.040058,21.760732,0.051551
1734912000,22.070000,24.920000,21.500000,24.520000,112775.514291,2765255.610405,-0.036542,-0.037227,21.823750,0.049033
1734912000,22.121120,24.920110,21.481780,24.492220,29556.506501,723904.459654,-0.037358,-0.038074,21.822102,0.049119
1734825600,22.140000,22.760000,21.350000,21.970000,102070.214923,2242482.621850,-0.103997,-0.109811,21.817083,0.053148
1734825600,22.167700,22.739570,21.294370,22.121120,18115.309498,400730.935242,-0.096810,-0.101823,21.820898,0.052640
