unix,open,high,low,close,Volume BTC,Volume USDC
1663714800,18856.000000,18895.000000,18856.000000,18878.000000,0.076641,1446.831252
1663711200,18985.000000,18985.000000,18985.000000,18985.000000,0.000000,0.000000
1663707600,18956.000000,19039.000000,18956.000000,18985.000000,0.083741,1589.822885
1663704000,19053.000000,19053.000000,19048.000000,19048.000000,0.003012,57.372576
1663700400,19068.000000,19083.000000,19047.000000,19083.000000,0.006244,119.149863
1663696800,18840.000000,18994.000000,18815.000000,18994.000000,0.037091,704.497147
1663693200,19103.000000,19104.000000,18871.000000,18871.000000,0.188343,3554.215847
1663689600,19271.000000,19271.000000,19001.000000,19130.000000,0.093932,1796.928151
1663686000,19141.000000,19239.000000,19012.000000,19235.000000,1.717601,33038.053696
1663682400,18900.000000,19082.000000,18885.000000,19052.000000,6.796385,129484.724734
1663678800,19125.000000,19133.000000,18778.000000,18928.000000,1.101324,20845.852533
1663675200,19209.000000,19209.000000,19056.000000,19128.000000,0.584179,11174.175912
1663671600,19291.000000,19325.000000,19225.000000,19226.000000,0.259169,4982.783386
1663668000,19198.000000,19294.000000,19071.000000,19294.000000,1.610430,31071.632175
1663664400,19294.000000,19298.000000,19159.000000,19223.000000,0.213880,4111.415240
1663660800,19372.000000,19419.000000,19299.000000,19376.000000,2.365837,45840.450737
1663657200,19426.000000,19560.000000,19263.000000,19356.000000,0.303922,5882.714232
1663653600,19354.000000,19354.000000,19332.000000,19345.000000,0.071901,1390.931616
1663650000,19385.000000,19416.000000,19240.000000,19416.000000,0.468422,9094.882134
1663646400,19325.000000,19350.000000,19168.000000,19307.000000,4.517548,87220.292285
1663642800,19239.000000,19310.000000,19239.000000,19310.000000,0.035000,675.850000
1663639200,19440.000000,19459.000000,19440.000000,19459.000000,0.006185,120.353915
1663635600,19489.000000,19489.000000,19424.000000,19451.000000,0.427091,8307.350348
1663632000,19557.000000,19557.000000,19557.000000,19557.000000,0.000000,0.000000
1663628400,19557.000000,19557.000000,19557.000000,19557.000000,0.100000,1955.700000
1663624800,19516.000000,19581.000000,19516.000000,19581.000000,0.029242,572.580749
1663621200,19557.000000,19650.000000,19545.000000,19554.000000,0.165621,3238.562420
1663617600,19554.000000,19618.000000,19427.000000,19527.000000,0.164758,3217.230052
1663614000,19311.000000,19542.000000,19302.000000,19518.000000,0.162990,3181.230232
1663610400,18964.000000,19046.000000,18964.000000,19046.000000,0.022333,425.352032
1663606800,19197.000000,19197.000000,18952.000000,18961.000000,0.048230,914.489030
1663603200,19154.000000,19231.000000,19154.000000,19212.000000,0.049591,952.742292
1663599600,19320.000000,19338.000000,19078.000000,19142.000000,0.620784,11883.040437
1663596000,19103.000000,19391.000000,19102.000000,19333.000000,0.366538,7086.286694
1663592400,18834.000000,19156.000000,18757.000000,19101.000000,0.889621,16992.647856
1663588800,18687.000000,18863.000000,18687.000000,18835.000000,22.973648,432708.653676
1663585200,18767.000000,18767.000000,18644.000000,18644.000000,0.645631,12037.136534
1663581600,18461.000000,18783.000000,18461.000000,18769.000000,0.361073,6776.984205
1663578000,18428.000000,18428.000000,18428.000000,18428.000000,0.012702,234.063611
1663574400,18436.000000,18487.000000,18436.000000,18487.000000,0.250000,4621.750000
1663570800,18419.000000,18497.000000,18419.000000,18497.000000,0.316774,5859.372932
1663567200,18439.000000,18506.000000,18251.000000,18506.000000,0.460455,8521.171902
1663563600,18811.000000,18811.000000,18445.000000,18451.000000,1.923197,35484.906186
1663560000,18795.000000,18852.000000,18795.000000,18806.000000,0.172051,3235.589225
1663556400,18750.000000,18752.000000,18725.000000,18740.000000,0.765893,14352.827324
1663552800,19439.000000,19439.000000,18697.000000,18769.000000,2.283286,42854.998312
1663549200,19452.000000,19452.000000,19404.000000,19404.000000,0.042111,817.116605
1663545600,19503.000000,19512.000000,19503.000000,19512.000000,0.060000,1170.720000
1663542000,19496.000000,19516.000000,19393.000000,19393.000000,1.151874,22338.287246
1663538400,19345.000000,19450.000000,19345.000000,19450.000000,2.053413,39938.873903
1663534800,19650.000000,19650.000000,19430.000000,19479.000000,3.279168,63874.920679
1663531200,19735.000000,19735.000000,19690.000000,19690.000000,0.041282,812.842580
1663527600,19633.000000,19734.000000,19614.000000,19713.000000,0.160225,3158.510300
