unix,open,high,low,close,Volume BTC,Volume USDT
1742040000,84087.000000,84244.000000,84087.000000,84209.000000,0.014233,1198.538276
1742036400,83897.000000,84132.000000,83870.000000,84129.000000,0.002864,240.914328
1742032800,83897.000000,83897.000000,83740.000000,83833.000000,0.017061,1430.288226
1742029200,83819.000000,83892.000000,83713.000000,83892.000000,0.015128,1269.082102
1742025600,83878.000000,83884.000000,83749.000000,83781.000000,0.007825,655.567893
1742022000,84031.000000,84031.000000,83832.000000,83832.000000,0.016136,1352.697224
1742018400,84221.000000,84222.000000,84190.000000,84190.000000,0.015404,1296.831610
1742014800,84339.000000,84361.000000,84339.000000,84361.000000,0.000864,72.923336
1742011200,84508.000000,84508.000000,84435.000000,84476.000000,0.007892,666.722606
1742007600,84520.000000,84641.000000,84520.000000,84633.000000,0.003386,286.529253
1742004000,84392.000000,84581.000000,84319.000000,84555.000000,0.009116,770.767867
1742000400,84329.000000,84490.000000,84316.000000,84490.000000,0.032072,2709.802145
1741996800,84202.000000,84305.000000,84157.000000,84244.000000,0.051224,4315.318026
1741993200,84301.000000,84301.000000,83966.000000,83966.000000,0.944983,79346.480363
1741989600,84373.000000,84491.000000,84291.000000,84491.000000,0.022342,1887.666660
1741986000,84079.000000,84326.000000,84079.000000,84170.000000,6.080535,511798.635158
1741982400,83976.000000,84225.000000,83825.000000,84202.000000,0.251401,21168.437531
1741978800,84811.000000,84955.000000,84579.000000,84628.000000,1.569125,132791.900345
1741975200,84335.000000,84604.000000,84335.000000,84545.000000,0.235533,19913.123112
1741971600,84675.000000,84726.000000,84227.000000,84227.000000,0.203521,17141.928734
1741968000,84916.000000,84916.000000,84099.000000,84790.000000,0.415268,35210.608484
1741964400,83628.000000,85289.000000,83628.000000,84809.000000,1.494681,126762.412802
1741960800,82895.000000,83515.000000,82662.000000,83394.000000,2.471963,206146.842393
1741957200,83509.000000,83744.000000,83139.000000,83604.000000,0.592991,49576.396991
1741953600,83065.000000,83440.000000,83065.000000,83183.000000,0.351306,29222.696148
1741950000,83129.000000,83275.000000,83129.000000,83200.000000,3.448084,286880.550528
1741946400,82937.000000,83202.000000,82937.000000,83202.000000,0.003470,288.702620
1741942800,82715.000000,82730.000000,82714.000000,82717.000000,0.009057,749.128165
1741939200,82344.000000,82528.000000,82344.000000,82528.000000,0.087006,7180.465004
1741935600,81977.000000,82195.000000,81977.000000,82195.000000,0.008256,678.626578
1741932000,82084.000000,82201.000000,81886.000000,81886.000000,0.023052,1887.656543
1741928400,81951.000000,81983.000000,81951.000000,81977.000000,0.017168,1407.414747
1741924800,82022.000000,82022.000000,82019.000000,82019.000000,0.001150,94.324311
1741921200,81996.000000,82036.000000,81872.000000,81872.000000,0.002348,192.276392
1741917600,81678.000000,82080.000000,81678.000000,82080.000000,0.030002,2462.563339
1741914000,81331.000000,81331.000000,81331.000000,81331.000000,0.000000,0.000000
1741910400,80989.000000,81331.000000,80918.000000,81331.000000,0.596686,48529.078826
1741906800,81366.000000,81444.000000,81161.000000,81161.000000,0.016524,1341.075958
1741903200,80893.000000,81274.000000,80893.000000,81274.000000,0.007769,631.394137
1741899600,80830.000000,80830.000000,80830.000000,80830.000000,0.004679,378.215694
1741896000,80518.000000,80518.000000,80518.000000,80518.000000,0.000000,0.000000
1741892400,80784.000000,80784.000000,80469.000000,80518.000000,0.361405,29099.636776
1741888800,80573.000000,80938.000000,80573.000000,80872.000000,0.006749,545.797850
1741885200,80688.000000,80688.000000,80289.000000,80289.000000,0.439994,35326.657391
1741881600,80891.000000,81077.000000,80891.000000,80941.000000,0.024377,1973.075284
1741878000,82030.000000,82030.000000,80969.000000,81094.000000,0.516842,41912.755954
1741874400,81987.000000,82220.000000,81987.000000,82220.000000,0.003210,263.907289
1741870800,82712.000000,82712.000000,81609.000000,81609.000000,0.021169,1727.545013
1741867200,82917.000000,83824.000000,82501.000000,82501.000000,0.748344,61739.115969
1741863600,82970.000000,82970.000000,82760.000000,82760.000000,0.039464,3266.074572
1741860000,83449.000000,83449.000000,83237.000000,83237.000000,0.006739,560.914166
1741856400,83064.000000,83394.000000,83064.000000,83320.000000,0.077242,6435.785943
1741852800,83045.000000,83045.000000,82611.000000,82746.000000,0.183966,15222.419193
1741849200,83060.000000,83060.000000,83060.000000,83060.000000,0.000000,0.000000
1741845600,82990.000000,83060.000000,82906.000000,83060.000000,0.003361,279.131436
1741842000,83356.000000,83521.000000,83200.000000,83200.000000,0.040466,3366.762880
1741838400,83610.000000,83610.000000,83237.000000,83237.000000,0.002370,197.260869
1741834800,84004.000000,84004.000000,84004.000000,84004.000000,0.000637,53.530709
1741831200,83933.000000,84065.000000,83928.000000,84065.000000,0.003173,266.779437
1741827600,83334.000000,84282.000000,83334.000000,84282.000000,0.013676,1152.638104
1741824000,83615.000000,83854.000000,83615.000000,83715.000000,0.002756,230.754537
1741820400,83466.000000,83586.000000,83460.000000,83586.000000,0.009243,772.612981
1741816800,83671.000000,83680.000000,83556.000000,83636.000000,0.033515,2803.074758
1741813200,83325.000000,83325.000000,83142.000000,83142.000000,0.003030,251.904463
1741809600,82881.000000,83141.000000,82754.000000,83141.000000,0.017778,1478.075710
1741806000,82662.000000,82925.000000,82662.000000,82839.000000,0.031062,2573.122651
1741802400,81941.000000,82601.000000,81934.000000,82591.000000,0.370820,30626.405357
1741798800,81873.000000,81873.000000,81873.000000,81873.000000,0.000000,0.000000
1741795200,82086.000000,82086.000000,81867.000000,81873.000000,0.073603,6026.127893
1741791600,81500.000000,81915.000000,80716.000000,81645.000000,1.300764,106200.879229
1741788000,82572.000000,82789.000000,81641.000000,81699.000000,0.572454,46768.924248
1741784400,84151.000000,84151.000000,82418.000000,82418.000000,0.632253,52108.991490
1741780800,83054.000000,84297.000000,82995.000000,83940.000000,1.083432,90943.249343
1741777200,82523.000000,82943.000000,82523.000000,82943.000000,0.011392,944.911539
1741773600,82416.000000,82461.000000,82144.000000,82191.000000,0.158187,13001.515663
1741770000,82497.000000,82497.000000,82381.000000,82381.000000,0.001177,96.987151
1741766400,82729.000000,82796.000000,82382.000000,82663.000000,0.005629,465.337306
1741762800,81551.000000,82331.000000,81392.000000,82331.000000,0.250475,20621.862988
1741759200,81537.000000,81666.000000,81317.000000,81317.000000,0.016967,1379.667320
1741755600,81787.000000,81994.000000,81765.000000,81932.000000,0.019767,1619.549844
1741752000,81868.000000,82115.000000,81679.000000,81792.000000,0.143435,11731.846153
1741748400,82409.000000,82409.000000,82321.000000,82344.000000,0.030044,2473.974427
1741744800,82943.000000,82943.000000,82463.000000,82463.000000,0.029316,2417.448200
1741741200,82984.000000,83715.000000,82915.000000,83614.000000,2.205634,184421.855356
1741737600,82908.000000,82908.000000,82677.000000,82677.000000,0.035028,2895.989287
1741734000,82807.000000,82925.000000,82595.000000,82925.000000,0.098013,8127.700660
1741730400,83123.000000,83123.000000,83123.000000,83123.000000,0.000000,0.000000
1741726800,83124.000000,83187.000000,82932.000000,83123.000000,0.031999,2659.819628
1741723200,83053.000000,83087.000000,82651.000000,83087.000000,0.025772,2141.344752
1741719600,83299.000000,83412.000000,82874.000000,83350.000000,0.396351,33035.848349
1741716000,82010.000000,83289.000000,82010.000000,83199.000000,0.446706,37165.465038
1741712400,81395.000000,81399.000000,80888.000000,81399.000000,0.020532,1671.299734
1741708800,81093.000000,81561.000000,81093.000000,81376.000000,0.178707,14542.455949
1741705200,80229.000000,81601.000000,80229.000000,81601.000000,0.053740,4385.271196
1741701600,80602.000000,81212.000000,79314.000000,80303.000000,1.294742,103971.683690
1741698000,81183.000000,81677.000000,80869.000000,81070.000000,0.327469,26547.910209
1741694400,81618.000000,81883.000000,81062.000000,81260.000000,0.032426,2634.911569
1741690800,81809.000000,82095.000000,81693.000000,81693.000000,0.038017,3105.708893
1741687200,81405.000000,81812.000000,81405.000000,81792.000000,0.033593,2747.622298
1741683600,81374.000000,81759.000000,81305.000000,81505.000000,0.290834,23704.392568
1741680000,80363.000000,81297.000000,80363.000000,81075.000000,0.362659,29402.538698
1741676400,80268.000000,80517.000000,80268.000000,80437.000000,0.015632,1257.412902
1741672800,80311.000000,80415.000000,80249.000000,80249.000000,0.316341,25386.014402
1741669200,79764.000000,80479.000000,79764.000000,80263.000000,0.137989,11075.437594
1741665600,79756.000000,80152.000000,79756.000000,80039.000000,0.947585,75843.755815
1741662000,79683.000000,79811.000000,79630.000000,79630.000000,0.197116,15696.311246
1741658400,79435.000000,79435.000000,79221.000000,79257.000000,0.015675,1242.320187
1741654800,77385.000000,79009.000000,77062.000000,79000.000000,0.422661,33390.237170
1741651200,78754.000000,78994.000000,76797.000000,76797.000000,3.803627,292107.153471
1741647600,79464.000000,79637.000000,78674.000000,78674.000000,0.646286,50845.927579
1741644000,79764.000000,79764.000000,79327.000000,79606.000000,2.513950,200125.507680
1741640400,79270.000000,79716.000000,79103.000000,79716.000000,1.429783,113976.565685
1741636800,78864.000000,79646.000000,78787.000000,79646.000000,0.104541,8326.290805
1741633200,77573.000000,79321.000000,77485.000000,79321.000000,1.190780,94453.846102
1741629600,78626.000000,78988.000000,77586.000000,77655.000000,0.955547,74203.003062
1741626000,78623.000000,79258.000000,78348.000000,78348.000000,1.570902,123077.015793
1741622400,80187.000000,80187.000000,79123.000000,79172.000000,0.742538,58788.226453
1741618800,79983.000000,80677.000000,79953.000000,80677.000000,0.200736,16194.762137
1741615200,81455.000000,81455.000000,79338.000000,79888.000000,1.649487,131774.243819
1741611600,83000.000000,83046.000000,81960.000000,81995.000000,1.427891,117079.885647
1741608000,83470.000000,83540.000000,82699.000000,83164.000000,0.116780,9711.917701
1741604400,82393.000000,83709.000000,82393.000000,83709.000000,1.927702,161365.990813
1741600800,82379.000000,82434.000000,82003.000000,82003.000000,0.228261,18718.056442
1741597200,81438.000000,83401.000000,81438.000000,82372.000000,0.153484,12642.788167
1741593600,82386.000000,82387.000000,81357.000000,81357.000000,0.439732,35775.297477
1741590000,82486.000000,82486.000000,82422.000000,82422.000000,0.025900,2134.729800
1741586400,82345.000000,82395.000000,82026.000000,82395.000000,0.065438,5391.761538
1741582800,82727.000000,82727.000000,82194.000000,82331.000000,0.082066,6756.542090
1741579200,82070.000000,82662.000000,82047.000000,82648.000000,0.100709,8323.385035
1741575600,82306.000000,82340.000000,81806.000000,82034.000000,0.163527,13414.758332
1741572000,81881.000000,82697.000000,81556.000000,82176.000000,1.771481,145573.225943
1741568400,81363.000000,81856.000000,80917.000000,81747.000000,0.508827,41595.088126
1741564800,80755.000000,81413.000000,80150.000000,81323.000000,0.138448,11259.008330
1741561200,80109.000000,81017.000000,80089.000000,80628.000000,2.392910,192935.531354
1741557600,81839.000000,81998.000000,80123.000000,80340.000000,1.203075,96655.015774
1741554000,83055.000000,83055.000000,81623.000000,81892.000000,0.540827,44289.404684
1741550400,82733.000000,83444.000000,82666.000000,83064.000000,0.168038,13957.899295
1741546800,82837.000000,82986.000000,82371.000000,82611.000000,0.114532,9461.565877
1741543200,82562.000000,83317.000000,82309.000000,82754.000000,0.029194,2415.902898
1741539600,82591.000000,82830.000000,82192.000000,82345.000000,0.060781,5005.016386
1741536000,83146.000000,83657.000000,82430.000000,82572.000000,0.139541,11522.181103
1741532400,83772.000000,83772.000000,82792.000000,83089.000000,0.385981,32070.783618
1741528800,83663.000000,83829.000000,83091.000000,83640.000000,5.080592,424940.739136
1741525200,84569.000000,84673.000000,83559.000000,83559.000000,0.126233,10547.879850
