unix,open,high,low,close,Volume XRP,Volume BTC,return,log_return,SMA_24,volatility_24
1543881600,0.000090,0.000090,0.000088,0.000089,1168773.113284,103.974056,-0.011111,-0.011173,0.000091,0.027492
1543795200,0.000089,0.000091,0.000088,0.000090,4224312.335848,378.371656,0.011236,0.011173,0.000091,0.026942
1543708800,0.000089,0.000090,0.000088,0.000089,762845.086702,67.778786,-0.011111,-0.011173,0.000091,0.023092
1543622400,0.000090,0.000091,0.000088,0.000089,660028.946027,58.610570,0.000000,0.000000,0.000090,0.022912
1543536000,0.000089,0.000091,0.000087,0.000091,750741.391136,67.957111,0.022472,0.022223,0.000090,0.023557
1543449600,0.000092,0.000092,0.000087,0.000089,1290339.860577,114.724117,-0.021978,-0.022223,0.000090,0.019338
1543363200,0.000095,0.000095,0.000091,0.000092,1383892.276828,127.387284,0.033708,0.033152,0.000090,0.019486
1543276800,0.000094,0.000096,0.000090,0.000095,5493746.841550,519.323889,0.032609,0.032088,0.000090,0.020082
1543190400,0.000094,0.000096,0.000092,0.000094,3355667.597161,316.036774,-0.010526,-0.010582,0.000090,0.020231
1543104000,0.000097,0.000097,0.000089,0.000094,5240316.166291,490.860415,0.000000,0.000000,0.000090,0.019748
