unix,date,symbol,open,high,low,close,Volume XRP,Volume BTC
1592956800,2020-06-24 00:00:00,XRP/BTC,0.000020,0.000020,0.000019,0.000020,2968037.740323,58.678106
1592870400,2020-06-23 00:00:00,XRP/BTC,0.000020,0.000020,0.000020,0.000020,1066993.862358,20.987769
1592784000,2020-06-22 00:00:00,XRP/BTC,0.000020,0.000020,0.000019,0.000020,1209960.535633,23.739426
1592697600,2020-06-21 00:00:00,XRP/BTC,0.000020,0.000020,0.000020,0.000020,4982207.490814,99.644150
1592611200,2020-06-20 00:00:00,XRP/BTC,0.000020,0.000020,0.000020,0.000020,894879.759655,17.978134
1592524800,2020-06-19 00:00:00,XRP/BTC,0.000020,0.000020,0.000020,0.000020,10392024.652985,209.191456
1592438400,2020-06-18 00:00:00,XRP/BTC,0.000020,0.000020,0.000020,0.000020,1516362.224642,30.660844
1592352000,2020-06-17 00:00:00,XRP/BTC,0.000020,0.000021,0.000020,0.000020,2772943.694039,56.651240
1592265600,2020-06-16 00:00:00,XRP/BTC,0.000020,0.000020,0.000020,0.000020,13047848.436726,263.175103
1592179200,2020-06-15 00:00:00,XRP/BTC,0.000020,0.000020,0.000020,0.000020,3948729.593432,80.672546
1592092800,2020-06-14 00:00:00,XRP/BTC,0.000020,0.000020,0.000020,0.000020,2162936.036337,44.037378
1592006400,2020-06-13 00:00:00,XRP/BTC,0.000020,0.000021,0.000020,0.000020,846423.228908,17.199320
1591920000,2020-06-12 00:00:00,XRP/BTC,0.000020,0.000021,0.000020,0.000020,1190092.060207,24.289779
1591833600,2020-06-11 00:00:00,XRP/BTC,0.000021,0.000021,0.000020,0.000020,2642359.588537,53.666323
1591747200,2020-06-10 00:00:00,XRP/BTC,0.000021,0.000021,0.000020,0.000021,1636325.235550,33.561031
1591660800,2020-06-09 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,5952636.435671,122.683837
1591574400,2020-06-08 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,2877024.529500,59.928421
1591488000,2020-06-07 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,1028718.952413,21.448790
1591401600,2020-06-06 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,1385665.072481,29.209820
1591315200,2020-06-05 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,1877664.884881,39.487293
1591228800,2020-06-04 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,1730050.375166,36.071550
1591142400,2020-06-03 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,1477430.042806,31.173774
1591056000,2020-06-02 00:00:00,XRP/BTC,0.000021,0.000022,0.000021,0.000021,3262727.963247,69.528733
1590969600,2020-06-01 00:00:00,XRP/BTC,0.000021,0.000022,0.000020,0.000021,8064661.096043,166.696545
1590883200,2020-05-31 00:00:00,XRP/BTC,0.000021,0.000022,0.000021,0.000021,4709950.843794,100.887147
1590796800,2020-05-30 00:00:00,XRP/BTC,0.000021,0.000022,0.000021,0.000021,4387992.636843,93.552003
1590710400,2020-05-29 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,8376682.342893,175.659029
1590624000,2020-05-28 00:00:00,XRP/BTC,0.000022,0.000022,0.000021,0.000021,2513867.358094,52.715798
1590537600,2020-05-27 00:00:00,XRP/BTC,0.000022,0.000022,0.000022,0.000022,1745260.047795,37.523091
1590451200,2020-05-26 00:00:00,XRP/BTC,0.000022,0.000022,0.000022,0.000022,1478937.120836,32.418302
