unix,open,high,low,close,Volume UNI,Volume USD
1673290800,5.881740,5.888170,5.878470,5.885470,225.680000,1328.232870
1673287200,5.916290,5.916290,5.853750,5.874370,253.260000,1487.742946
1673283600,5.918020,5.954690,5.918020,5.940070,91.137780,541.364794
1673280000,5.894140,5.934810,5.894140,5.927290,364.663220,2161.464656
1673276400,5.919460,5.928780,5.896460,5.909310,896.502284,5297.709914
1673272800,5.884800,5.884800,5.884800,5.884800,0.000000,0.000000
1673269200,5.884800,5.884800,5.884800,5.884800,42.665972,251.080711
1673265600,5.832440,5.870000,5.832330,5.870000,153.750000,902.512500
1673262000,5.841910,5.841910,5.836610,5.836610,12.419781,72.489419
1673258400,5.860050,5.860050,5.858060,5.858060,10.240202,59.987718
1673254800,5.735040,5.735040,5.735040,5.735040,0.000000,0.000000
1673251200,5.735040,5.735040,5.735040,5.735040,9.876076,56.639689
1673247600,5.761310,5.761310,5.761310,5.761310,18.229200,105.024072
1673244000,5.758100,5.758100,5.738630,5.738630,631.555771,3624.264892
1673240400,5.735490,5.742680,5.735490,5.742680,510.620620,2932.330822
1673236800,5.749020,5.751350,5.733400,5.733400,798.331888,4577.156047
1673233200,5.697150,5.717200,5.697150,5.717200,404.733220,2313.940765
1673229600,5.677490,5.742290,5.656010,5.699000,3049.408792,17378.580703
1673226000,5.643240,5.687520,5.616340,5.687520,1440.936695,8195.356269
1673222400,5.568080,5.622200,5.567470,5.621730,1710.427502,9615.561601
1673218800,5.557960,5.587960,5.536590,5.587960,2318.307417,12954.609113
1673215200,5.494720,5.494720,5.494720,5.494720,140.702516,773.120929
1673211600,5.474710,5.474710,5.474710,5.474710,0.000000,0.000000
1673208000,5.451520,5.474760,5.451520,5.474710,1144.735077,6267.092573
1673204400,5.433310,5.433310,5.433310,5.433310,30.440366,165.391946
1673200800,5.425130,5.425130,5.425130,5.425130,18.467500,100.188588
1673197200,5.449250,5.449250,5.449250,5.449250,0.000000,0.000000
1673193600,5.507240,5.507240,5.444800,5.449250,1009.390899,5500.423355
1673190000,5.480940,5.520410,5.480940,5.520410,384.653437,2123.444681
1673186400,5.500720,5.500720,5.500720,5.500720,150.000000,825.108000
1673182800,5.474360,5.474360,5.474360,5.474360,0.000000,0.000000
1673179200,5.479490,5.479490,5.474360,5.474360,481.136436,2633.914059
1673175600,5.479490,5.480020,5.479490,5.479490,2141.512021,11734.393702
1673172000,5.485790,5.485790,5.479500,5.479500,21.742994,119.140733
1673168400,5.482510,5.485820,5.482510,5.485820,19.704126,108.093290
1673164800,5.444800,5.444800,5.444800,5.444800,0.000000,0.000000
1673161200,5.458310,5.458310,5.444800,5.444800,40.785919,222.071172
1673157600,5.472670,5.472670,5.462190,5.462190,12.428629,67.887533
1673154000,5.459560,5.459560,5.459560,5.459560,145.470000,794.202193
1673150400,5.451390,5.451390,5.451390,5.451390,0.000000,0.000000
1673146800,5.451390,5.451390,5.451390,5.451390,0.000000,0.000000
1673143200,5.451390,5.451390,5.451390,5.451390,7.225600,39.389564
1673139600,5.396300,5.418740,5.396300,5.418740,140.815743,763.043902
1673136000,5.420960,5.420960,5.349680,5.349680,2249.756733,12035.478597
1673132400,5.400300,5.405320,5.400300,5.405320,239.619425,1295.219668
1673128800,5.405320,5.405320,5.405310,5.405320,439.186081,2373.941310
1673125200,5.412050,5.412050,5.412050,5.412050,45.496257,246.228017
1673121600,5.413120,5.413120,5.409300,5.409300,300.966775,1628.019576
1673118000,5.418380,5.418380,5.418380,5.418380,214.565331,1162.596498
1673114400,5.419940,5.419940,5.419940,5.419940,0.000000,0.000000
1673110800,5.419940,5.419940,5.419940,5.419940,0.000000,0.000000
1673107200,5.419940,5.419940,5.419940,5.419940,16.010800,86.777575
1673103600,5.449290,5.449290,5.449290,5.449290,365.961327,1994.229398
1673100000,5.439880,5.443160,5.436600,5.443160,1206.221369,6565.655907
1673096400,5.457920,5.464470,5.457920,5.464470,635.356620,3471.887189
1673092800,5.453000,5.453000,5.443120,5.451350,939.618201,5122.187680
1673089200,5.459070,5.459150,5.459070,5.459150,219.880275,1200.359403
1673085600,5.480880,5.480880,5.464610,5.464610,1012.901850,5535.113579
1673082000,5.472380,5.479240,5.472380,5.474340,16.014436,87.668466
1673078400,5.502200,5.502200,5.477370,5.477370,1541.624170,8444.045980
1673074800,5.489100,5.499430,5.489100,5.499430,253.394528,1393.525467
1673071200,5.502290,5.502290,5.502290,5.502290,0.000000,0.000000
1673067600,5.502290,5.502290,5.502290,5.502290,4.179328,22.995875
