unix,open,high,low,close,Volume UNI,Volume USD,return,log_return,SMA_24,volatility_24
1703548800,6.944000,7.785300,6.640900,7.363300,19024.510510,140083.178238,0.014606,0.014500,6.806583,0.045100
1703462400,6.778910,7.105930,6.676000,6.980000,29031.625516,202640.746101,-0.061354,-0.063316,6.823261,0.050308
1703462400,6.874700,7.143500,6.671500,6.944000,4592.055693,31887.234732,-0.056945,-0.058630,6.832637,0.046921
1703376000,6.436990,7.177550,6.051040,6.868870,13605.570623,93454.895885,-0.015921,-0.016049,6.828815,0.048673
1703376000,6.347700,7.300000,6.338200,6.874700,14974.262093,102943.559611,-0.009980,-0.010030,6.836708,0.044729
1703289600,6.434000,6.434000,6.111110,6.278990,4508.843789,28310.985061,-0.085877,-0.089790,6.804148,0.051669
1703289600,6.400100,6.421200,5.927200,6.347700,8795.686720,55832.380593,-0.076658,-0.079755,6.816833,0.047463
1703203200,6.185010,6.490000,6.166000,6.422000,14083.692331,90445.472150,0.022776,0.022520,6.794981,0.051481
1703203200,6.214500,6.557600,6.150600,6.400100,10422.175840,66702.967594,0.008255,0.008221,6.806458,0.047228
1703116800,5.931000,6.200000,5.875920,6.200000,4011.958171,24874.140658,-0.034569,-0.035180,6.787564,0.051318
1703116800,5.907500,6.350000,5.881900,6.214500,6205.076465,38561.447692,-0.029000,-0.029428,6.801667,0.046549
1703030400,5.859000,6.098990,5.826800,5.923000,2049.285154,12137.915968,-0.044677,-0.045706,6.759773,0.051594
1703030400,5.875700,6.159700,5.800000,5.907500,7679.073657,45364.127629,-0.049401,-0.050663,6.770813,0.046338
1702944000,6.031120,6.031120,5.795390,5.825470,2510.242008,14623.339511,-0.016466,-0.016603,6.726417,0.051629
1702944000,5.979400,6.260000,5.800000,5.875700,5604.849779,32932.415846,-0.005383,-0.005398,6.740258,0.046338
1702857600,6.081260,6.081260,5.600000,5.932340,14009.763738,83110.681816,0.018345,0.018179,6.689573,0.051384
1702857600,6.082500,6.350000,5.700000,5.979400,6375.539501,38121.900892,0.017649,0.017495,6.705242,0.045949
1702771200,6.056070,6.242540,6.049090,6.060430,3307.886892,20047.216958,0.021592,0.021362,6.663712,0.051541
1702771200,6.152100,6.303900,6.082500,6.082500,1362.885563,8289.751437,0.017243,0.017096,6.682279,0.045886
1702684800,6.050000,6.223010,5.938000,6.145060,6553.604396,40272.292227,0.013964,0.013868,6.668798,0.047407
1702684800,6.082500,6.319500,6.000200,6.152100,4831.159213,29721.774594,0.011443,0.011378,6.686183,0.042296
1702598400,6.279000,6.289400,6.000000,6.027010,25848.922639,155791.715236,-0.019211,-0.019397,6.659875,0.047011
1702598400,6.413500,6.413500,6.020700,6.082500,2589.712594,15751.926853,-0.011313,-0.011378,6.677121,0.041561
1702512000,6.331110,6.444990,6.269750,6.302010,20753.750959,130790.346082,0.045628,0.044618,6.674126,0.046910
1702512000,6.288600,6.500000,6.147300,6.413500,2298.835535,14743.581704,0.054418,0.052989,6.688779,0.042642
1702425600,6.236000,6.312910,5.990000,6.312910,6033.367551,38088.106348,0.001730,0.001728,6.671123,0.044624
1702425600,6.234600,6.372900,5.990000,6.288600,6204.293215,39016.318312,-0.019475,-0.019667,6.688137,0.042527
1702339200,6.099000,6.298000,6.099000,6.235000,5854.933345,36505.509408,-0.012341,-0.012418,6.663673,0.044690
1702339200,6.105400,6.356500,5.950000,6.234600,13573.699906,84626.589434,-0.008587,-0.008624,6.680371,0.042394
1702252800,6.612820,6.612820,5.900000,6.090000,19862.882577,120964.954894,-0.023256,-0.023530,6.645437,0.044757
1702252800,6.601000,6.616700,5.921000,6.105400,13927.935596,85035.617988,-0.020723,-0.020941,6.658529,0.041990
1702166400,6.877750,6.877760,6.414220,6.600990,27872.036070,183983.031380,0.083906,0.080572,6.652495,0.047946
1702166400,6.851000,6.871700,6.411300,6.601000,7268.918187,47982.128952,0.081174,0.078048,6.660929,0.045248
1702080000,6.579710,7.033000,6.575570,6.837010,72841.115751,498015.436804,0.035755,0.035131,6.637496,0.041735
1702080000,6.549500,7.200000,6.549500,6.851000,11948.038427,81856.011263,0.037873,0.037173,6.646908,0.041096
1701993600,6.306000,6.485000,6.295000,6.468010,6389.433027,41326.916713,-0.053971,-0.055482,6.591383,0.041427
1701993600,6.287300,6.549500,6.269500,6.549500,10488.614299,68695.179351,-0.044008,-0.045006,6.603050,0.039991
1701907200,6.032990,6.301000,6.032990,6.258020,6985.191560,43713.468489,-0.032466,-0.033005,6.551009,0.040948
1701907200,6.014400,6.372900,6.000200,6.287300,4544.081501,28570.003621,-0.040034,-0.040857,6.563896,0.039589
1701820800,6.259550,6.271500,5.985000,6.011000,9338.152067,56131.632073,-0.039473,-0.040273,6.491974,0.040896
1701820800,6.267200,6.284800,5.973000,6.014400,9089.707418,54669.136295,-0.043405,-0.044375,6.507733,0.039998
1701734400,6.151040,6.329990,5.998000,6.240000,19984.034754,124700.376866,0.038097,0.037389,6.437473,0.041696
1701734400,6.129200,6.342100,5.980100,6.267200,11097.575353,69550.724252,0.042032,0.041173,6.454846,0.040790
1701648000,6.123000,6.274480,5.930000,6.095000,19009.888241,115865.268829,-0.023237,-0.023511,6.366848,0.040962
1701648000,6.027500,6.296800,5.900700,6.129200,8130.295858,49832.209373,-0.022019,-0.022265,6.384292,0.039750
1701561600,6.153000,6.242610,5.960990,6.056540,4888.020297,29604.490448,-0.006310,-0.006330,6.316912,0.038964
1701561600,6.184600,6.254500,5.946000,6.027500,9639.855683,58104.230129,-0.016593,-0.016732,6.333050,0.037479
1701475200,6.081990,6.185000,6.053860,6.134000,28884.509996,177177.584313,0.012789,0.012708,6.262653,0.038610
1701475200,6.015800,6.430800,6.010700,6.184600,3742.657125,23146.837255,0.026064,0.025730,6.283937,0.037838
